Index,Date,Cancelled,Planned
0,Jan 2000,3143,35178
1,Feb 2000,1480,33210
2,Mar 2000,884,35941
3,Apr 2000,1233,33854
4,May 2000,1864,35747
5,Jun 2000,2864,35279
6,Jul 2000,1903,37987
7,Aug 2000,2075,39148
8,Sep 2000,1583,37816
9,Oct 2000,1347,40424
10,Nov 2000,1594,38878
11,Dec 2000,3780,39030
12,Jan 2001,3206,47397
13,Feb 2001,2640,41871
14,Mar 2001,4362,46511
15,Apr 2001,1485,45507
16,May 2001,1380,47140
17,Jun 2001,2685,45591
18,Jul 2001,1757,46778
19,Aug 2001,2342,47830
20,Sep 2001,11699,41921
21,Oct 2001,1203,34827
22,Nov 2001,612,31999
23,Dec 2001,538,31807
24,Jan 2002,649,32985
25,Feb 2002,416,30075
26,Mar 2002,480,33907
27,Apr 2002,537,34119
28,May 2002,699,35590
29,Jun 2002,994,35229
30,Jul 2002,741,36670
31,Aug 2002,510,36648
32,Sep 2002,239,34151
33,Oct 2002,403,36494
34,Nov 2002,511,34313
35,Dec 2002,1311,34398
